,Product_Description,Brand,Rating_of_the_product,Product_Price
0,HMT-DLX BLK Quartz Original Gold Plated Day & Date Functioning Watch for Boys Analog Watch - for Men ,VILLS LAURRENS,3.5 out of 5 stars,"1,899."
1,HMT-DLX Quartz Original Gold Plated Day & Date Functioning Watch for Boys Analog Watch - for Men ,VILLS LAURRENS,3.4 out of 5 stars,"1,899."
2,Analogue Men's Watch (Black Dial Black Colored Strap) ,VILLS LAURRENS,4.2 out of 5 stars,"1,899."
3,Matrix Analog Dial Men's Watch-Exquisite All Black Collection ,Decode,4.2 out of 5 stars,399
4,"boAt Xtend Smartwatch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor & 5 ATM Water Resistance(Pitch Black) ",boAt,4.2 out of 5 stars,399
5,"boAt Xtend Smartwatch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor & 5 ATM Water Resistance(Sandy Cream) ",boAt,4.0 out of 5 stars,352
6,"boAt Xtend Smartwatch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor & 5 ATM Water Resistance(Olive Green) ",boAt,4.1 out of 5 stars,289
7,"Noise ColorFit Pro 2 Full Touch Control Smart Watch with 35g Weight & Upgraded LCD Display,IP68 Waterproof,Heart Rate Monitor,Sleep & Step Tracker,Call & Message Alerts & Long Battery Life (Jet Black) ",Noise,4.0 out of 5 stars,"2,999"
8,"Fire-Boltt Ring Bluetooth Calling Smartwatch with SpO2 & 1.7” Metal Body with Blood Oxygen Monitoring, Continuous Heart Rate, Full Touch & Multiple Watch Faces (Black), M (BSW005) ",Fire-Boltt,4.0 out of 5 stars,"2,999"
9,"boAt Flash Edition Smartwatch with Activity Tracker,Multiple Sports Modes,Full Touch 1.3"" Screen,Sleep Monitor,Gesture, Camera & Music Control,IP68 Dust,Sweat & Splash Resistance(Lightning Black) ",boAt,3.2 out of 5 stars,"2,999"
10,"Noise ColorFit Pulse Spo2 Smart Watch with 10 days battery life, 60+ Watch Faces, 1.4"" Full Touch HD Display Smartwatch, 24*7 Heart Rate Monitor Smart Band, Sleep Monitoring Smart Watches for Men and Women & IP68 Waterproof (Jet Black) ",Noise,4.4 out of 5 stars,"2,799"
